Inventory_ID,Store_ID,Product_ID,Current_Stock,Reorder_Level,Last_Restock_Date,Next_Restock_Date,Batch_ID,Expiry_Date,Inventory_Status
INV000001,DS001,P000866,19,8,2025-03-27,2025-04-05,B2503270001,Not Applicable,In Stock
INV000002,DS001,P002201,10,8,2025-03-13,2025-03-27,B2503130002,Not Applicable,In Stock
INV000003,DS001,P001690,24,15,2025-03-15,2025-03-20,B2503150003,Not Applicable,In Stock
INV000004,DS001,P001381,68,20,2025-03-24,2025-04-01,B2503240004,Not Applicable,In Stock
INV000005,DS001,P000363,20,25,2025-03-07,2025-03-13,B2503070005,Not Applicable,Low Stock
INV000006,DS001,P000136,19,10,2025-03-25,2025-04-07,B2503250006,Not Applicable,In Stock
INV000007,DS001,P002005,32,10,2025-03-04,2025-03-17,B2503040007,Not Applicable,In Stock
INV000008,DS001,P001387,197,75,2025-03-14,2025-03-17,B2503140008,Not Applicable,In Stock
INV000009,DS001,P001634,221,75,2025-03-22,2025-03-27,B2503220009,Not Applicable,In Stock
INV000010,DS001,P000049,227,75,2025-03-25,2025-03-30,B2503250010,Not Applicable,In Stock
INV000011,DS001,P002245,124,60,2025-03-29,2025-04-01,B2503290011,Not Applicable,In Stock
INV000012,DS001,P001925,39,10,2025-03-11,2025-03-24,B2503110012,Not Applicable,In Stock
INV000013,DS001,P000494,115,36,2025-03-23,2025-03-28,B2503230013,Not Applicable,In Stock
INV000014,DS001,P000424,48,10,2025-03-11,2025-03-21,B2503110014,Not Applicable,In Stock
INV000015,DS001,P000427,44,15,2025-03-19,2025-03-26,B2503190015,2025-03-21,In Stock
INV000016,DS001,P000707,61,25,2025-03-05,2025-03-10,B2503050016,Not Applicable,In Stock
INV000017,DS001,P001210,0,75,2025-03-21,2025-04-02,B2503210017,Not Applicable,Out of Stock
INV000018,DS001,P000996,51,15,2025-03-03,2025-03-10,B2503030018,2025-03-04,In Stock
INV000019,DS001,P000676,78,25,2025-03-27,2025-04-03,B2503270019,Not Applicable,In Stock
INV000020,DS001,P001413,187,60,2025-03-23,2025-03-28,B2503230020,Not Applicable,In Stock
INV000021,DS001,P000325,71,25,2025-03-20,2025-03-26,B2503200021,Not Applicable,In Stock
INV000022,DS001,P000678,206,75,2025-03-29,2025-04-01,B2503290022,Not Applicable,In Stock
INV000023,DS001,P000848,15,8,2025-03-06,2025-03-20,B2503060023,Not Applicable,In Stock
INV000024,DS001,P001053,53,15,2025-03-17,2025-03-24,B2503170024,2025-03-19,In Stock
INV000025,DS001,P001816,0,15,2025-03-08,2025-04-01,B2503080025,Not Applicable,Out of Stock
INV000026,DS001,P000465,148,75,2025-03-07,2025-03-12,B2503070026,Not Applicable,In Stock
INV000027,DS001,P001186,90,60,2025-03-17,2025-03-20,B2503170027,Not Applicable,In Stock
INV000028,DS001,P001367,31,15,2025-03-15,2025-03-21,B2503150028,2025-03-17,In Stock
INV000029,DS001,P000108,243,75,2025-03-15,2025-03-20,B2503150029,Not Applicable,In Stock
INV000030,DS001,P001402,40,25,2025-03-14,2025-03-19,B2503140030,Not Applicable,In Stock
INV000031,DS001,P000397,44,36,2025-03-02,2025-03-06,B2503020031,Not Applicable,In Stock
INV000032,DS001,P000151,79,45,2025-03-24,2025-03-27,B2503240032,2025-03-26,In Stock
INV000033,DS001,P002197,82,25,2025-03-05,2025-03-10,B2503050033,Not Applicable,In Stock
INV000034,DS001,P002235,28,20,2025-03-27,2025-04-04,B2503270034,2025-09-09,In Stock
INV000035,DS001,P001869,117,45,2025-03-18,2025-03-21,B2503180035,2025-03-21,In Stock
INV000036,DS001,P000227,69,36,2025-03-19,2025-03-24,B2503190036,2025-03-20,In Stock
INV000037,DS001,P001579,17,15,2025-03-24,2025-03-30,B2503240037,Not Applicable,In Stock
INV000038,DS001,P001015,0,25,2025-03-14,2025-04-01,B2503140038,Not Applicable,Out of Stock
