Order_Detail_ID,Order_ID,Product_ID,Quantity,Selling_Price,Item_Discount,Final_Item_Price
OD00000001,ORD0000001,P000852,1,70.27,18.58,51.69
OD00000002,ORD0000001,P002042,1,150.44,39.79,110.65
OD00000003,ORD0000001,P000357,1,69.45,18.37,51.08
OD00000004,ORD0000001,P001895,1,102.57,27.13,75.44
OD00000005,ORD0000001,P000572,1,114.51,30.28,84.23
OD00000006,ORD0000001,P002254,2,103.73,54.87,152.59
OD00000007,ORD0000002,P000089,3,81.83,16.34,229.15
OD00000008,ORD0000002,P000534,1,61.01,4.06,56.95
OD00000009,ORD0000002,P000084,1,27.33,1.82,25.51
OD00000010,ORD0000003,P000555,2,104.59,44.81,164.37
OD00000011,ORD0000003,P000954,1,100.72,21.57,79.15
OD00000012,ORD0000004,P000506,1,360.44,30.87,329.57
OD00000013,ORD0000004,P001941,2,25.45,4.36,46.54
OD00000014,ORD0000005,P000299,1,202.77,47.12,155.65
OD00000015,ORD0000005,P000954,1,100.72,23.4,77.32
OD00000016,ORD0000006,P000801,1,164.79,64.03,100.76
OD00000017,ORD0000006,P001661,3,53.94,62.87,98.95
OD00000018,ORD0000007,P001190,2,146.81,112.07,181.55
OD00000019,ORD0000007,P001292,1,524.47,200.17,324.30000000000007
OD00000020,ORD0000008,P000553,1,620.45,113.77,506.68000000000006
OD00000021,ORD0000009,P000396,1,60.37,22.88,37.49
OD00000022,ORD0000009,P000077,1,83.89,31.8,52.09
OD00000023,ORD0000009,P001631,1,94.88,35.96,58.92
OD00000024,ORD0000010,P001970,2,163.58,5.76,321.40000000000003
OD00000025,ORD0000010,P001377,3,33.21,1.76,97.87
OD00000026,ORD0000011,P000633,1,62.46,6.75,55.71
OD00000027,ORD0000011,P001395,1,165.77,17.91,147.86
OD00000028,ORD0000012,P001718,1,216.08,59.76,156.32000000000002
OD00000029,ORD0000012,P001354,3,33.96,28.18,73.69999999999999
OD00000030,ORD0000013,P000336,1,18.17,0.32,17.85
OD00000031,ORD0000013,P001757,5,69.58,6.08,341.82
OD00000032,ORD0000013,P000048,2,46.45,1.62,91.28
OD00000033,ORD0000014,P001061,1,285.79,91.89,193.90000000000003
OD00000034,ORD0000014,P000263,1,155.08,49.86,105.22
OD00000035,ORD0000015,P001154,1,275.09,105.54,169.55
OD00000036,ORD0000015,P001582,1,266.31,102.16,164.15
OD00000037,ORD0000015,P001042,1,55.74,21.38,34.36
OD00000038,ORD0000016,P000134,2,59.46,42.46,76.46000000000001
OD00000039,ORD0000016,P002199,3,95.9,102.72,184.98000000000005
OD00000040,ORD0000017,P002132,1,123.55,15.75,107.8
OD00000041,ORD0000017,P000916,1,47.59,6.07,41.52
OD00000042,ORD0000017,P000323,1,73.75,9.4,64.35
OD00000043,ORD0000018,P001227,1,33.39,2.18,31.21
OD00000044,ORD0000018,P000879,1,39.68,2.59,37.09
OD00000045,ORD0000018,P001224,1,23.51,1.54,21.97
OD00000046,ORD0000018,P001364,1,150.16,9.82,140.34
OD00000047,ORD0000019,P000925,1,115.52,42.46,73.06
OD00000048,ORD0000019,P001530,2,11.59,8.52,14.66
OD00000049,ORD0000019,P001174,1,49.59,18.23,31.360000000000003
OD00000050,ORD0000019,P000132,2,226.8,166.74,286.86
OD00000051,ORD0000020,P002036,1,175.35,41.05,134.3
OD00000052,ORD0000020,P000809,1,64.95,15.2,49.75
OD00000053,ORD0000021,P001206,2,12.4,5.88,18.92
OD00000054,ORD0000021,P001311,2,77.31,36.66,117.96
OD00000055,ORD0000021,P000343,1,86.57,20.52,66.05
OD00000056,ORD0000022,P001987,4,112.95,7.55,444.25
OD00000057,ORD0000022,P000190,2,181.94,6.08,357.8
OD00000058,ORD0000022,P000222,1,110.35,1.85,108.5
OD00000059,ORD0000022,P000404,1,74.02,1.24,72.78
OD00000060,ORD0000022,P001065,1,71.66,1.2,70.46
OD00000061,ORD0000022,P001131,1,54.3,0.91,53.39
OD00000062,ORD0000023,P001816,1,461.25,59.19,402.06
OD00000063,ORD0000024,P002015,5,67.71,4.15,334.4
OD00000064,ORD0000025,P000849,1,34.74,4.52,30.22
OD00000065,ORD0000025,P000036,1,151.09,19.64,131.45
OD00000066,ORD0000026,P002077,1,56.22,17.9,38.32
OD00000067,ORD0000026,P000177,1,157.31,50.09,107.22
OD00000068,ORD0000026,P001153,2,95.26,60.66,129.86
OD00000069,ORD0000027,P001391,5,25.99,48.17,81.77999999999999
OD00000070,ORD0000027,P001316,1,33.64,12.47,21.17
OD00000071,ORD0000027,P000339,2,32.37,24.0,40.74
OD00000072,ORD0000027,P001226,1,26.77,9.92,16.85
OD00000073,ORD0000027,P000329,3,190.35,211.69,359.36
OD00000074,ORD0000028,P001629,1,320.73,29.25,291.48
OD00000075,ORD0000028,P000892,2,140.5,25.64,255.36
OD00000076,ORD0000028,P001130,1,170.45,15.55,154.89999999999998
OD00000077,ORD0000028,P000932,1,135.01,12.32,122.69
OD00000078,ORD0000028,P000837,2,62.11,11.33,112.89
OD00000079,ORD0000028,P002283,1,121.08,11.05,110.03
OD00000080,ORD0000029,P000251,1,482.54,164.17,318.37
OD00000081,ORD0000030,P001569,1,1252.05,47.42,1204.63
OD00000082,ORD0000031,P000352,2,34.92,12.02,57.82000000000001
OD00000083,ORD0000031,P001818,4,35.43,24.39,117.33
OD00000084,ORD0000031,P001514,1,28.7,4.94,23.76
OD00000085,ORD0000031,P000929,1,228.87,39.38,189.49
OD00000086,ORD0000031,P002167,1,111.58,19.2,92.38
OD00000087,ORD0000032,P002244,1,579.03,209.54,369.49
OD00000088,ORD0000033,P000633,1,62.46,3.03,59.43
OD00000089,ORD0000033,P001155,2,25.94,2.53,49.35
OD00000090,ORD0000033,P002071,2,13.93,1.36,26.5
OD00000091,ORD0000033,P001469,1,24.39,1.19,23.2
OD00000092,ORD0000033,P000248,2,11.21,1.09,21.33
OD00000093,ORD0000034,P001688,3,91.28,101.0,172.84000000000003
OD00000094,ORD0000034,P000904,1,9.97,3.68,6.290000000000001
