Product_ID,SKU,Product_Name,Brand,Brand_Tier,Category,Sub_Category,Item,Type,Variant,Flavour,Unit,Size,MRP,Selling_Price,Cost_Price,Discount_Percentage,Shelf_Life_Days,Storage_Type,GST_Percentage,Is_Perishable,Product_Status,Average_Rating,Launch_Status
P000001,MCC-FRI-VEG-7500,McCain Fries & Bites Cheese Balls Veg Spicy 750.0 g,McCain,Premium,Frozen Foods,Frozen Snacks,Fries & Bites,Cheese Balls,Veg,Spicy,g,750.0,335,305.51,218.64,8.8,180,Frozen,18,True,Low Stock,4.7,Regular
P000002,BIN-CHI-ROA-900,Bingo Corn Chips Roasted Cream & Onion 90.0 g,Bingo,Budget,Snacks,Munchies,Chips,Corn Chips,Roasted,Cream & Onion,g,90.0,49,40.62,28.39,17.1,180,Ambient,12,False,Available,4.2,Regular
P000003,FOR-CHA-SEL-150,Fortune Chakki Atta Maida Select 15.0 kg,Fortune,Popular,Staples & Grocery,Atta,Chakki Atta,Maida,Select,Not Applicable,kg,15.0,855,817.49,602.2,4.4,90,Ambient,0,False,Available,4.2,Regular
P000004,FAS-BAS-LEA-30,Fastrack Basic Wear Socks Leather 3.0 pack,Fastrack,Popular,Fashion & Lifestyle,Apparel & Accessories,Basic Wear,Socks,Leather,Not Applicable,pack,3.0,339,292.19,231.43,13.8,3650,Ambient,12,False,Available,4.2,Seasonal
P000005,GAR-FAC-HYD-300,Garnier Face Serum Liquid Serum Hydrating Niacinamide 30.0 ml,Garnier,Budget,Beauty & Personal Care,Skin Care,Face Serum,Liquid Serum,Hydrating,Niacinamide,ml,30.0,505,414.83,208.78,17.9,730,Ambient,18,False,Available,4.1,Regular
P000006,UNB-CHI-SKI-2500,Unbranded Chicken Boneless Skinless 250.0 g,Unbranded,Budget,Meat & Fish,Chicken,Chicken,Boneless,Skinless,Not Applicable,g,250.0,89,88.72,60.54,0.3,3,Refrigerated,5,True,Available,3.9,Regular
P000007,REL-CHI-SKI-5000,Relish Chicken Wings Skinless 500.0 g,Relish,Popular,Meat & Fish,Chicken,Chicken,Wings,Skinless,Not Applicable,g,500.0,239,222.76,163.09,6.8,3,Refrigerated,5,True,Available,4.4,Regular
P000008,NIV-FAC-ANT-500,Nivea Face Serum Liquid Serum Anti-Acne Hyaluronic Acid 50.0 ml,Nivea,Popular,Beauty & Personal Care,Skin Care,Face Serum,Liquid Serum,Anti-Acne,Hyaluronic Acid,ml,50.0,869,844.59,553.32,2.8,730,Ambient,18,False,Available,4.5,Regular
P000009,HUG-DIA-STA-720,Huggies Diapers Taped Standard 72.0 pack,Huggies,Popular,Baby Care,Baby Diapers & Wipes,Diapers,Taped,Standard,Not Applicable,pack,72.0,925,855.12,581.89,7.6,1095,Ambient,12,False,Available,4.5,Regular
P000010,PRI-CHI-BAK-900,Pringles Potato Chips Baked Classic Salted 90.0 g,Pringles,Premium,Snacks,Munchies,Chips,Potato Chips,Baked,Classic Salted,g,90.0,45,42.64,31.67,5.2,180,Ambient,12,False,Available,4.7,Regular
