Return_ID,Order_ID,Product_ID,Return_Date,Return_Reason,Refund_Amount,Return_Status
RET0000001,ORD0000003,P000954,2025-04-01 06:16:36,Damaged in Transit,79.15,Approved
RET0000002,ORD0000018,P001227,2025-04-01 07:07:40,Expired Product,31.21,Approved
RET0000003,ORD0000028,P002283,2025-04-02 07:36:44,Quality/Freshness Issue,0.0,Rejected
RET0000004,ORD0000038,P001433,2025-04-01 07:54:40,Wrong Item Delivered,199.97,Approved
RET0000005,ORD0000038,P000701,2025-04-01 07:54:40,Wrong Item Delivered,117.63,Approved
RET0000006,ORD0000047,P000797,2025-04-03 08:05:38,Damaged in Transit,179.65,Approved
RET0000007,ORD0000066,P001286,2025-04-01 08:24:32,Quality/Freshness Issue,23.78,Approved
RET0000008,ORD0000078,P000458,2025-04-01 08:46:42,Damaged in Transit,44.06,Approved
RET0000009,ORD0000079,P001125,2025-04-01 08:47:44,Expired Product,229.93,Approved
RET0000010,ORD0000091,P001324,2025-04-02 09:02:22,Damaged in Transit,123.79,Approved
RET0000011,ORD0000093,P000273,2025-04-01 09:03:52,Damaged in Transit,59.76,Approved
RET0000012,ORD0000110,P001228,2025-04-02 09:27:58,Wrong Item Delivered,57.38,Approved
RET0000013,ORD0000119,P001827,2025-04-01 09:35:39,Not as Expected,316.79,Approved
RET0000014,ORD0000132,P002210,2025-04-01 09:58:32,Expired Product,181.16,Approved
RET0000015,ORD0000139,P000434,2025-04-01 10:04:59,Damaged in Transit,0.0,Rejected
RET0000016,ORD0000144,P000282,2025-04-01 10:09:36,Damaged in Transit,22.83,Approved
RET0000017,ORD0000146,P002199,2025-04-01 10:11:20,Quality/Freshness Issue,135.63,Approved
RET0000018,ORD0000158,P001516,2025-04-02 10:24:14,Damaged in Transit,15.61,Approved
RET0000019,ORD0000176,P000483,2025-04-01 10:49:05,Damaged in Transit,205.06,Approved
RET0000020,ORD0000181,P002259,2025-04-02 10:56:27,Damaged in Transit,304.9,Approved
RET0000021,ORD0000199,P002255,2025-04-01 11:13:56,Quality/Freshness Issue,0.0,Rejected
RET0000022,ORD0000219,P001468,2025-04-01 11:37:54,Damaged in Transit,11.08,Approved
RET0000023,ORD0000221,P001506,2025-04-01 11:41:34,Wrong Item Delivered,0.0,Pending
RET0000024,ORD0000247,P000735,2025-04-02 12:10:28,Wrong Item Delivered,29.15,Approved
RET0000025,ORD0000294,P000820,2025-04-01 12:32:06,Quality/Freshness Issue,0.0,Rejected
RET0000026,ORD0000300,P000706,2025-04-03 12:34:02,Quality/Freshness Issue,119.3,Approved
RET0000027,ORD0000308,P001337,2025-04-01 12:42:13,Quality/Freshness Issue,48.83,Approved
RET0000028,ORD0000316,P001791,2025-04-01 12:47:14,Quality/Freshness Issue,0.0,Rejected
RET0000029,ORD0000329,P000074,2025-04-03 12:55:55,Quality/Freshness Issue,465.0,Approved
RET0000030,ORD0000330,P001918,2025-04-02 12:56:24,Expired Product,0.0,Rejected
RET0000031,ORD0000331,P000526,2025-04-01 12:56:26,Wrong Item Delivered,67.75,Approved
RET0000032,ORD0000338,P001536,2025-04-01 12:59:40,Damaged in Transit,38.79,Approved
RET0000033,ORD0000338,P000766,2025-04-01 12:59:40,Damaged in Transit,22.95,Approved
RET0000034,ORD0000347,P000966,2025-04-01 13:03:51,Expired Product,182.12,Approved
RET0000035,ORD0000351,P000433,2025-04-01 13:04:25,Quality/Freshness Issue,32.92,Approved
RET0000036,ORD0000354,P002173,2025-04-02 13:05:39,Damaged in Transit,13.14,Approved
RET0000037,ORD0000365,P000665,2025-04-01 13:08:49,Quality/Freshness Issue,50.19,Approved
RET0000038,ORD0000384,P000717,2025-04-02 13:16:25,Expired Product,335.25,Approved
RET0000039,ORD0000397,P001472,2025-04-01 13:18:50,Expired Product,92.26,Approved
RET0000040,ORD0000397,P002071,2025-04-04 13:18:50,Damaged in Transit,39.84,Approved
RET0000041,ORD0000411,P001497,2025-04-02 13:24:29,Damaged in Transit,86.93,Approved
RET0000042,ORD0000445,P000213,2025-04-01 13:37:48,Quality/Freshness Issue,208.73,Approved
RET0000043,ORD0000448,P001420,2025-04-01 13:38:14,Damaged in Transit,159.76,Approved
RET0000044,ORD0000463,P001979,2025-04-01 13:44:07,Damaged in Transit,57.42,Approved
RET0000045,ORD0000463,P001574,2025-04-01 13:44:07,Quality/Freshness Issue,32.06,Approved
RET0000046,ORD0000474,P000116,2025-04-01 13:49:10,Expired Product,567.67,Approved
RET0000047,ORD0000477,P001055,2025-04-01 13:51:47,Wrong Item Delivered,331.21,Approved
RET0000048,ORD0000485,P001882,2025-04-04 13:54:53,Wrong Item Delivered,72.99,Approved
RET0000049,ORD0000494,P000341,2025-04-01 13:57:46,Not as Expected,0.0,Rejected
RET0000050,ORD0000497,P000254,2025-04-02 13:58:22,Quality/Freshness Issue,68.33,Approved
RET0000051,ORD0000499,P001718,2025-04-01 13:58:31,Damaged in Transit,283.87,Approved
RET0000052,ORD0000513,P001370,2025-04-03 14:02:03,Expired Product,0.0,Rejected
RET0000053,ORD0000544,P001973,2025-04-01 14:12:08,Quality/Freshness Issue,43.32,Approved
RET0000054,ORD0000546,P000617,2025-04-01 14:12:53,Expired Product,10.6,Approved
RET0000055,ORD0000557,P000158,2025-04-02 14:17:18,Wrong Item Delivered,180.93,Approved
RET0000056,ORD0000567,P001119,2025-04-01 14:21:55,Wrong Item Delivered,0.0,Pending
RET0000057,ORD0000573,P000300,2025-04-01 14:24:55,Quality/Freshness Issue,0.0,Rejected
RET0000058,ORD0000579,P000892,2025-04-01 14:30:02,Quality/Freshness Issue,357.26,Approved
RET0000059,ORD0000579,P001962,2025-04-01 14:30:02,Wrong Item Delivered,18.43,Approved
RET0000060,ORD0000603,P001065,2025-04-01 14:42:17,Not as Expected,70.21,Approved
RET0000061,ORD0000638,P002182,2025-04-01 14:57:55,Wrong Item Delivered,48.17,Approved
RET0000062,ORD0000653,P001768,2025-04-01 15:30:11,Damaged in Transit,267.58,Approved
RET0000063,ORD0000654,P000871,2025-04-01 15:30:44,Quality/Freshness Issue,155.76,Approved
RET0000064,ORD0000657,P001197,2025-04-01 15:33:00,Expired Product,74.05,Approved
RET0000065,ORD0000673,P001540,2025-04-01 15:51:10,Damaged in Transit,31.74,Approved
RET0000066,ORD0000675,P002311,2025-04-02 15:58:35,Quality/Freshness Issue,0.0,Rejected
RET0000067,ORD0000701,P000179,2025-04-01 16:53:57,Damaged in Transit,17.81,Approved
RET0000068,ORD0000705,P000465,2025-04-01 17:03:08,Wrong Item Delivered,286.97,Approved
RET0000069,ORD0000713,P001668,2025-04-01 17:10:02,Wrong Item Delivered,130.86,Approved
RET0000070,ORD0000730,P001859,2025-04-01 17:31:44,Wrong Item Delivered,0.0,Rejected
RET0000071,ORD0000731,P001347,2025-04-02 17:32:44,Wrong Item Delivered,22.19,Approved
RET0000072,ORD0000744,P000165,2025-04-01 17:50:38,Quality/Freshness Issue,141.95,Approved
RET0000073,ORD0000747,P002013,2025-04-01 17:53:00,Wrong Item Delivered,202.75,Approved
RET0000074,ORD0000766,P001826,2025-04-02 18:08:26,Wrong Item Delivered,54.75,Approved
RET0000075,ORD0000781,P002294,2025-04-01 18:14:51,Damaged in Transit,74.57,Approved
RET0000076,ORD0000805,P002181,2025-04-02 18:26:59,Quality/Freshness Issue,33.82,Approved
RET0000077,ORD0000818,P001629,2025-04-02 18:31:50,Damaged in Transit,220.92,Approved
